,age,Weidner_i0,Hannum_i0,PhotoAge
X5006,54,58.4108234935359,63.52832450242,75.338364249463
X5007,46,48.1017455111015,54.66329242539,76.50288617561
X5008,60,61.1952711078206,63.26184438763,75.47265889668
X5009,40,38.3689661146613,52.67715712391,75.00585256816
X5010,43,46.778682784614,52.43605478042,74.357766276247
X5011,41,47.2427778879194,51.01494027256,74.059112070801
X5012,53,51.2589537697865,60.5367060197,74.072789384589
X5013,48,65.7970346740832,62.56130053144,74.562208125283
X5014,71,72.0685402679329,77.29440308847,74.990537174191
X5015,52,58.9018891269887,64.56804475947,75.137227902523
X5016,64,60.7252828257744,72.60242714596,74.7800737439179
X5017,48,45.7708751829848,59.60151817217,75.15612705399
X5018,55,56.8064538589731,60.19016812957,75.696151953201
X5019,68,68.5426402793865,78.89834704712,74.96750225566
X5020,46,49.7157032399949,57.01950868624,75.899098370037
X5021,64,68.1950476602738,71.71428773512,75.383937443865
X5022,57,54.8082429638859,57.54106606764,75.873077570163
X5023,45,51.0060612987789,50.93449932915,76.04575304743
X5024,51,51.9622287723412,60.82447404821,74.42829881861
X5025,53,59.7806496861137,66.18248669388,74.851500591392
X5026,60,65.9870763636593,70.43387536654,74.13941234941
X5027,51,61.130625148349,55.74027916357,74.325785845515
X5028,73,58.9887085811164,77.28894594912,70.643018177265
X5029,38,40.3517220180386,47.46728057424,75.065962245728
X5030,42,61.3361934317117,60.03894279299,73.512163943917
X5032,64,74.3073780905957,76.59409763842,75.2888817493
X5033,58,53.9701211182769,62.28089939933,75.439427457544
X5034,43,43.3312989405717,52.22822673144,75.13712963646
X5035,38,42.4612356625632,49.96868348838,74.280057997262
X5036,54,46.8046136912094,54.31897237814,75.88493401596
X5037,70,69.7273279977785,72.80019924678,73.4186623321
X5038,44,44.6839593464816,51.80278984947,74.34042065885
X5039,62,60.2375010000071,69.27860109798,74.115527550854
X5040,51,49.4531575262616,63.433675786,74.817078899211
X5041,41,44.8813179863916,48.30597924739,74.9574178853101
X5042,53,55.2583235377225,60.02571957249,74.931063963997
X5043,65,65.9790475120696,76.02295963047,75.4359607847519
X5044,50,55.1414069607656,61.18447955656,75.080300700004
X5045,55,55.2124341127664,61.21704898502,76.254551276849
X5046,62,65.6012883614513,69.10993857566,74.0610927981234
X5047,61,50.6855937259726,64.01974497704,74.1876259371554
X5048,38,41.6807797529494,39.77630188545,73.27545240481
X5050,59,60.3086503166422,64.0764510538,74.006614352062
X5051,64,62.5758407381476,73.93934726036,74.575664841471
X5052,57,54.4911113869635,57.40320393088,72.6864640222894
X5053,57,60.9339003000616,62.4311533589,74.6482651771515
X5054,49,42.6132916757785,55.50708761683,74.961074035915
X5055,64,67.6393761907615,70.84380343227,75.040126839309
X5056,66,57.027697667062,55.8919840742,73.888633885423
X5057,52,52.2306337021392,62.36220028141,74.885861878112
X5058,43,48.0125320340784,52.37729926612,72.7211811755632
X5059,49,61.0397670429678,62.13231543497,74.03183967539
X5060,51,57.0266997898786,57.81853021916,73.929765623207
X5061,58,58.0067678334265,68.4307072928,75.14613335132
X5062,63,61.9998568854389,68.58404467467,75.071408599322
X5063,55,59.194947066521,65.80827227382,75.11214587147
X5064,50,59.2536290582844,64.51324014339,74.020294566932
X5065,57,68.8212754936458,70.8538528708,73.938492002828
X5066,33,39.1043592841047,48.18937715973,73.901306854296
X5067,46,48.0943072198216,58.8066257781,73.754779484592
X5068,46,52.0868787520829,58.53864005874,74.70749039362
X5069,66,64.2761076024044,67.00363900981,73.93906426356
X5071,55,48.0220933112771,58.87834562605,73.336827321408
X5072,64,57.4081215392882,60.3226841177,73.63032092126
X5074,46,37.8805361088552,51.69320590886,74.49728147249
X5075,66,62.9779480143457,69.24177449132,75.26393245154
X5076,47,49.5615240511187,51.04111200875,73.755086589319
X5077,58,55.9668443027966,55.2799085382,74.561558598966
X5078,61,51.7987756986633,64.15513913924,74.659835043577
X5080,48,48.5298461953021,55.35753902359,74.71773118867
X5081,45,54.7783433026304,58.39430967589,74.88208641725
X5082,62,60.6989094778596,69.86244865049,74.9924089766188
X5083,50,48.0951779061143,62.15217158689,73.08774505341
X5084,34,32.9338456159945,45.89464822725,72.15738635371
X5085,64,58.1901730793056,69.64904527426,74.4635692310433
X5086,55,54.957271692923,65.37362535885,72.706311001658
X5087,48,53.0335387476358,57.58858165899,74.482932375434
X5088,60,56.0230262263706,60.40363377529,74.455464844055
X5089,64,60.5095361539282,70.70856193959,75.502056049117
X5090,58,61.237244245061,69.48718291712,74.31393333168
X5091,37,44.6660492353662,46.08689804137,74.873610802965
X5092,60,60.7627173053179,68.42769872954,73.3240583056981
X5093,63,66.7732979859957,71.61903891224,74.38096683305
X5094,59,64.584547775276,72.25212096685,75.089706413743
X5095,54,53.162579227408,61.82196541597,74.9265753308
X5096,60,63.6983767799389,67.78656213119,73.979840845602
X6001,51,53.7671235597575,56.70982049791,73.30571911119
X6003,63,61.6141571301861,65.5152555974,74.57300230026
X6004,64,59.2498243462466,61.05498848889,73.08828938399
X6005,64,65.7452250965075,76.80322672374,74.343455626528
X6006,44,51.0149097863061,56.43343693793,74.63456835344
X6007,65,70.004838593212,80.36922692986,72.74039161476
X6008,66,65.8668826041901,68.03803460082,75.631414733909
X6009,51,53.032213876883,61.83588330957,75.375446803433
X6011,61,60.145727528925,62.26604591679,76.326981004321
X6013,52,51.8373366915502,56.64268617992,74.745814642661
X6014,61,57.8078053502149,67.19349127066,75.093523586666
X6015,59,62.1471031803461,64.70250135755,74.912682471768
X6016,57,54.5413985973503,65.42096960522,75.496458637805
X6018,52,46.9954698857185,55.56711255915,74.375008635357
X6019,55,48.5145744855684,56.89810472578,75.125442778277
X6020,59,56.7126943924204,61.53264000746,74.458262981027
X6021,59,52.5402680894524,60.76404148132,74.148137885747
X6022,61,59.556799272836,65.62345735667,75.6928766667409
X6023,46,46.3258209745457,52.61666084885,75.180691715975
X6024,31,33.5730987708437,39.2253775087,73.982249242873
X6025,55,50.5268003799814,58.93609635273,75.932022389919
X6026,53,52.9312866457723,60.45068353409,74.387750752339
X6027,42,41.2028635447478,44.37242852956,75.15898279232
X6028,59,60.2109488665827,69.6487976134,76.888361914301
X6029,50,45.4270932731083,55.42269424774,75.30600603856
X6030,52,56.9389077567827,59.34110913997,75.1953512011
X6031,45,48.5434830054103,47.83900001927,74.707504721522
X6032,65,58.2172019338411,61.20053034818,74.786592123465
X6033,59,52.0170683813588,64.58514543341,75.429541054058
X6034,58,57.8562454652608,60.86903531808,75.20974501074
X6035,64,67.7607356566293,68.03574445765,74.695181831614
X6036,61,60.9467495056116,62.06845211325,73.92597286106
X6037,67,69.4734354954193,66.61660824932,74.4122846521
X6038,59,57.6078587583997,59.83412747685,74.642402258921
X6039,58,48.7815334592767,60.79487981745,73.750505813001
X6040,54,53.4278547145627,52.85693580153,75.189983434163
X6041,57,49.9459804996042,57.56259485435,75.310705615468
X6042,60,55.3227458625382,58.61707237437,74.25985705525
X6043,50,53.6196338867061,55.09345645214,75.294775585264
X6044,57,60.0490203487087,59.31603829567,76.000864552022
X6045,66,65.4321003516711,67.49427046413,74.90628403926
X6046,44,44.3484477496986,51.69734707691,74.742968565345
X6047,62,53.8154531708919,69.38303911977,76.282474792189
X6048,76,78.4720142070544,66.68324494032,73.91826560121
X6049,48,45.6336216968355,56.33857621979,73.591385061471
X6050,46,48.4386160376323,51.92045090028,74.744209628758
X6051,41,39.0523441178217,50.08281087056,75.308703577434
X6052,59,60.8681228555512,62.92963144173,72.9075085024664
X6053,52,57.6718128837782,57.25205995687,75.165061105188
X6054,50,50.1616533687288,53.1419333239,73.482726966785
X6055,45,41.4963920582105,49.01087182971,74.62751731978
X6056,52,54.5748631089037,61.45605450988,73.09342111272
X6057,54,53.8335584974434,62.81310615262,73.960335372648
X6058,62,63.6923793861854,65.0647304355,73.61192096331
X6059,62,61.6355532011421,60.91645712095,73.66225151557
X6060,63,56.9818973841831,70.53619074361,73.42684958594
X6061,55,54.4750077223533,65.41137005685,73.44888121645
X6062,60,61.9825577588796,65.81206298654,74.469823122594
X6063,65,65.5818340516902,60.06034761608,72.98723047573
X6064,64,60.8717014961534,64.19206189953,72.978889643929
X6065,57,54.8207358419019,68.91822996778,74.296911379057
X6066,63,61.84035141964,68.33811771001,74.27047444926
X6067,40,47.2866439717051,52.64357230824,74.41977448068
X6068,57,54.8117604616845,56.19312803911,74.240307813311
X6069,38,41.4078597556983,47.90431623754,74.761550516404
X6070,64,66.8075204473233,67.11314003525,74.61720064587
X6071,59,55.0544700185766,59.5849525325,73.0527971856813
X6072,58,70.5842728669875,67.51241200218,73.458915686696
X6073,41,45.7606272410699,47.13965632089,74.181022713158
X6074,58,61.8089220590163,64.72252609156,73.91504849653
X6075,26,28.1772495081589,37.88625875252,73.78257914081
X6076,61,61.9526917538993,60.04679918055,73.8700782655
X6077,56,66.0466042206378,64.60579465004,74.78979457179
X6078,66,64.6621851341348,69.23331284356,73.793741687426
X6079,62,59.5784290771209,67.4846351093,74.064870461836
X6080,56,54.7973122138693,65.84699497745,74.09390127924
X6081,55,53.8168420822142,59.21143801004,73.4497443885833
X6082,61,57.764693380124,59.56725529656,74.240471960554
X6083,58,59.4949117839818,65.54315926313,73.568474271445
X6084,53,55.1982494696219,64.95756101243,73.87237230226
X6085,63,65.0770834763215,70.46145143749,74.417668646498
X6086,59,50.1664659909586,61.42172773189,74.376802355829
X6087,61,62.1753217332301,64.9630104609,74.6125156814451
X6088,66,65.6508883114615,66.78294522332,73.516527367406
X6089,65,60.8524345542386,64.80106265234,73.46669844941
X6090,58,62.8145009715821,64.95428850422,73.67755225944
X6091,43,39.0115258604282,46.99896460873,75.249215079069
X6092,55,53.5676597422843,57.2713521906,75.661625729865
X6093,47,47.6911634424856,55.24756010038,73.827860693705
X6094,50,57.257341878829,63.90130395395,74.5349334491359
X6095,46,44.4606004546602,54.76801878604,73.748058866145
X6096,54,50.1047974682549,52.37474681263,74.40913678174
X8001,80,77.6029745161331,80.48108873946,74.387084531861
X8002,83,75.894058526239,82.10977630273,73.85432278912
X8003,77,77.7010471610161,83.04685414113,73.3622049777297
X8004,76,69.5048934697535,75.90427969816,74.856050999969
X8007,64,61.9414544253829,64.58542223553,75.24478439235
X8008,70,68.3040714465617,77.45972087862,73.676822015856
X8009,82,75.1048613105735,79.71058625898,74.62154447302
X8010,58,52.3039389965839,62.61429024293,74.929375901963
X8012,66,67.3536679654689,65.77594131276,74.26606216786
X8013,85,79.2735410957227,79.1760922752,74.817098039469
X8014,66,71.0596571119492,75.9386106912,74.748867277252
X8015,69,74.8934507406632,72.96854563652,74.049344703807
X8016,84,72.3237404597026,77.04568545817,74.40792480875
X8017,79,77.5683962247366,78.83694315844,73.328078472622
X8018,64,58.1679724768454,64.73217264434,71.833303966621
X8019,78,82.5962833997162,81.94439655417,73.9721924946199
X8020,53,58.724883843813,61.6983775589,72.82959216839
X8021,59,53.9770053837611,57.85079870186,76.22563740489
X8022,65,65.0393237192163,70.04166752018,75.39954535257
X8023,61,58.7495525011837,64.24341835144,73.5545339294254
X8024,58,51.5834449407827,58.40655341912,73.938126857445
X8025,69,63.6492342603837,67.25471129022,74.01749829921
X8026,60,63.64259284913,63.80199850532,74.6127945471407
X8027,65,64.167535466455,66.74312358511,74.428168247068
X8028,89,87.2113181259685,85.20368466423,74.63475789583
X8029,74,68.8876113302331,71.31715432114,74.710147307546
X8031,81,86.3144570938056,88.67858581895,72.91956930848
X8032,68,68.475817782849,68.39404989262,74.311765294274
X8033,68,67.8238076333901,63.62523055485,74.314013687333
X8034,65,72.2961071976452,71.50704685817,75.110943778783
X8035,90,89.99474320461,91.13271716864,74.449305655115
X8036,66,68.6733529508349,72.56062313341,74.805149373918
X8037,79,73.8331730451592,80.59609522652,72.8745936451
X8038,57,51.8476545567918,56.67027083776,75.24513510566
X8039,76,76.3472737296715,77.395830497,73.585543940489
X8040,79,80.6953263546701,82.90162268981,74.76080295774
X8041,49,45.0720524416157,54.16498792757,73.65653557412
X8043,92,89.1265400199546,94.36647041397,73.33650779949
X8044,66,61.007650645515,66.18044563072,74.27385989164
X8045,59,58.8333335218776,61.70797634817,73.49310301592
X8046,76,59.7755937745944,68.92184818666,74.153002088
X8047,56,57.0524378080818,54.76796043029,74.62051195366
X8049,52,61.3985631112615,59.97938950988,73.65311937376
X8050,65,64.1405194673466,66.57279692487,74.63941425894
X8051,73,68.1617277732423,74.68055737697,74.905209917
X8053,65,60.2954140410268,69.5210365736,74.710532686919
X8054,84,81.9229856993896,86.96153426222,74.876883922694
X8055,51,50.915716611393,55.62684872247,73.200088417626
X8056,78,80.8941075815527,79.69930832517,73.99688574769
X8057,53,55.3235675964794,65.26681031075,73.5420250019
X8059,68,74.0832042594133,77.99119869533,76.032018575961
X8060,52,53.313902159249,55.47196350028,73.388879318813
X8061,72,64.3664018103043,68.92188219964,74.27099847226
X8062,48,50.1900209153443,56.39746300427,74.751449896936
X8063,60,57.934702956344,60.55097245317,75.08105261604
X8064,61,73.7106820792053,73.90111995666,76.045960691856
X8065,69,69.7123916317441,72.4326362853,74.693589987097
X8066,81,79.0134831076633,77.02917552109,72.40219763202
X8067,56,56.8583202125733,58.07177084589,76.67973492324
X8068,79,74.5741063222563,71.70865687353,75.2479265758
X8069,82,80.2884976746154,87.71652488108,73.990287223553
X8070,58,51.0831824520847,60.11070257378,74.771590755909
X8071,75,71.9159825428199,74.1089080695,74.62393135934
X8072,78,73.5989822092048,78.5374856272,74.18300818042
X8076,57,54.7967612911919,58.67271697783,75.518718155048
X8077,70,70.0471524507053,75.95245644181,74.027981357449
X8078,77,77.8360466691666,79.50764689608,75.834157771399
X8080,56,56.975932085573,61.22887839963,74.225062844885
X8081,67,67.3055554196638,65.76464473194,75.283919685887
X8082,76,70.6008436420719,79.52510570028,74.5949517952753
X8083,89,79.1488761119311,86.96676565422,74.7844723278
X8084,69,65.9174406022445,70.52329579434,74.050467431685
X8085,79,68.0284248688372,77.29980445515,74.349326095214
