UP00391_2_Hoxa3_secondary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00146_2_Pou6f1_3733.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00100_2_Gata6_secondary	0.987504147892	0.999943857317	1.0	0.762199202898	0.000288192457764	0.986321135994	1.0	0.947747442343	1.0	1.0	0.981190844813	1.0
MA0158.1.HOXA5	1.0	1.0	1.0	0.00674584784744	0.999935271488	1.0	1.0	5.89528426076e-12	1.0	1.0	1.0	1.0
MA0137.2.STAT1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0017.1.NR2F1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00156_1_Msx2_3449.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00062_2_Sox4_secondary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00045_1_Mafb_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0087.1.Sox5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0124.1.NKX3-1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00001_1_E2F2_primary	0.999995581429	0.962541736501	1.0	0.997945532617	0.00249242245981	0.404788445342	1.0	0.150806891102	0.000284496691219	0.325669751381	0.957245883712	1.0
UP00035_2_Hic1_secondary	1.0	1.0	1.0	1.0	1.0	0.999999995483	1.0	1.0	1.0	1.0	1.0	1.0
UP00146_1_Pou6f1_1731.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00048_2_Rara_secondary	1.0	1.0	1.0	1.0	1.0	0.999961526876	0.999999999505	1.0	1.0	1.0	1.0	1.0
UP00110_1_Dlx4_3488.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00052_1_Osr2_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00189_1_Hoxa5_3415.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00017_1_Nkx3-1_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00153_1_Pitx1_2312.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00164_2_Hoxa7_3750.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0040.1.Foxq1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00154_1_Dlx3_1030.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0117.1.Mafb	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00092_1_Myb_primary	1.0	1.0	1.0	1.0	0.999999999466	1.0	1.0	1.0	0.981797052951	1.0	2.65964986604e-05	0.322333075456
UP00017_3_Nkx3-1_2923.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00091_1_Sox5_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
