"koch_senescence_hypo","koch_senescence_hyper","fibroblasts_f6_hypo","fibroblasts_f8_hyper","fibroblasts_f8_hypo","fibroblasts_f6_hyper"
"UP00097_1_Mtf1_primary",0.06,0.06,0.00631079292103,0.06,0.06,0.06
"UP00100_2_Gata6_secondary",0.06,0.06,0.06,0.06,0.06,0.000288192457764
"UP00031_1_Zbtb3_primary",0.06,0.06,0.06,0.06,0.0015419899279,0.00122511775005
"MA0111.1.Spz1",0.06,0.06,0.06,0.06,0.0222237536135,0.000154816868726
"UP00003_2_E2F3_secondary",0.06,0.06,0.06,0.06,0.00691730608186,0.06
"MA0071.1.RORA_1",0.06,0.06,0.06,0.06,0.00138561759658,0.06
"UP00066_1_Hnf4a_primary",0.06,0.06,0.06,0.06,3.60483398512e-05,0.06
"MA0158.1.HOXA5",0.06,0.06,0.06,0.06,5.89528426076e-12,0.06
"UP00053_1_Rxra_primary",0.06,0.06,0.06,0.06,5.90396933331e-06,0.06
"UP00018_2_Irf4_secondary",0.06,0.0422651353724,0.06,0.06,0.06,0.06
"UP00005_1_Tcfap2a_primary",0.06,0.0223693505101,0.06,0.06,0.06,0.06
"UP00010_2_Tcfap2b_secondary",0.06,0.0223693505101,0.06,0.06,0.06,0.06
"UP00408_1_Gabpa_primary",0.0421582342942,0.06,0.06,0.06,0.06,0.06
"MA0131.1.MIZF",0.06,0.06,0.06,0.0432816521702,0.06,0.06
"UP00103_1_Jundm2_primary",0.06,0.06,0.0493328895827,0.06,0.06,0.06
"UP00001_1_E2F2_primary",0.06,0.000284496691219,0.06,0.06,0.06,0.00249242245981
"UP00003_1_E2F3_primary",0.06,9.44805706468e-05,0.06,0.06,0.0269603452119,0.06
"MA0024.1.E2F1",0.06,1.40395925998e-05,0.06,0.06,0.0429305083848,0.06
"UP00011_2_Irf6_secondary",0.06,0.000805080063819,0.06,0.0271048320022,0.06,0.06
"UP00093_1_Klf7_primary",0.0397309706894,0.00288107210017,0.06,0.06,0.06,0.06
"UP00043_2_Bcl6b_secondary",0.06,2.81558105719e-08,0.06,0.06,0.06,0.06
"UP00028_1_Tcfap2e_primary",0.06,0.00235068730427,0.06,0.06,0.06,0.06
"UP00007_1_Egr1_primary",0.06,0.00575002786109,0.06,0.06,0.06,0.06
"UP00049_1_Sp100_primary",0.06,0.00682003120303,0.06,0.06,0.06,0.06
"UP00087_1_Tcfap2c_primary",0.06,0.00722513284725,0.06,0.06,0.06,0.06
"UP00093_2_Klf7_secondary",3.7095906625e-05,0.00617133134207,0.06,0.06,0.06,0.06
"UP00033_2_Zfp410_secondary",0.0044666400095,5.70345171091e-09,0.06,0.06,0.06,0.06
"MA0079.2.SP1",0.00996298838278,1.11457509888e-11,0.06,0.06,0.06,0.06
"UP00070_1_Gcm1_primary",0.00840225848064,0.06,0.06,0.06,0.06,0.06
"UP00117_1_Hoxd11_3873.1",0.00484788615941,0.06,0.06,0.06,0.06,0.06
"UP00059_2_Arid5a_secondary",0.00574072396138,0.06,0.06,0.06,0.06,0.06
"UP00040_2_Irf5_secondary",1.39967211988e-05,0.06,0.06,0.06,0.06,0.06
"UP00081_1_Mybl1_primary",2.65964986604e-05,0.06,0.06,0.06,0.06,0.06
"UP00092_1_Myb_primary",2.65964986604e-05,0.06,0.06,0.06,0.06,0.06
"UP00060_1_Max_primary",1e-100,0.06,0.06,0.06,0.06,0.06
"UP00072_2_IRC900814_secondary",4.78949657712e-10,0.06,0.06,0.06,0.06,0.06
"UP00114_1_Homez_1063.2",8.99320917847e-07,0.06,0.06,0.06,0.06,0.06
"UP00072_1_IRC900814_primary",1.79029599401e-06,0.06,0.06,0.06,0.06,0.06
