"koch_senescence_hypo","koch_senescence_hyper","fibroblasts_f6_hypo","fibroblasts_f8_hyper","fibroblasts_f8_hypo","fibroblasts_f6_hyper"
"MA0004.1.Arnt",1e-100,1e-100,1e-100,1e-100,1e-100,1e-100
"MA0104.1.Mycn",1e-100,1e-100,1e-100,1e-100,1e-100,1e-100
"MA0006.1.Arnt::Ahr",1e-100,1e-100,1e-100,1e-100,1e-100,1e-100
"MA0098.1.ETS1",1e-100,1e-100,1e-100,1e-100,1e-100,1e-100
"MA0003.1.TFAP2A",0.000146733687161,3.6745275489e-08,2.87056212134e-09,2.72779904459e-05,0.00316634824232,1.01627556892e-06
"MA0162.1.Egr1",0.000850996373098,5.2911772741e-09,3.34132721491e-11,0.000769867846076,0.00165410057576,9.19451675655e-05
"MA0018.2.CREB1",0.0026556785909,1.31967288923e-05,5.89528426076e-14,4.2430599958e-05,0.00882582435709,0.00743712213578
"MA0076.1.ELK4",0.06,0.00265251013696,1.96748173309e-11,2.72779904459e-05,2.44806994676e-08,1.59873397398e-06
"UP00065_1_Zfp161_primary",0.06,3.32288766092e-06,0.000834694651033,0.06,0.000289109318891,0.0433178912162
"UP00065_2_Zfp161_secondary",0.06,0.000652209600472,0.000395701852755,0.06,1e-100,1e-100
"MA0039.2.Klf4",0.06,0.00117579067093,1.20845582829e-06,0.06,7.87908188982e-06,3.33828197419e-07
"klf4_homer",0.06,0.06,0.00336410704644,0.06,0.00115575132173,0.000134126450761
"MA0146.1.Zfx",0.06,0.06,5.04930541823e-11,0.06,1e-100,1e-100
"MA0079.1.SP1",0.06,0.06,6.22578211207e-10,0.06,1e-100,1e-100
"MA0056.1.MZF1_1-4",1.01368809013e-07,0.000105320693382,1.90647497789e-11,1.78869166561e-05,0.06,0.06
"UP00000_2_Smad3_secondary",7.52259347037e-08,4.7700876582e-10,0.000182493417337,0.06,0.06,0.06
"MA0104.2.Mycn",1e-100,0.043465798162,0.00973489186687,0.02227440938,0.06,0.06
"MA0147.1.Myc",5.88418203051e-13,0.06,0.00137767428033,0.00158017188532,0.0405536197906,0.06
"MA0058.1.MAX",1e-100,0.06,1.00249261281e-06,0.0116809369606,0.06,0.06
"MA0130.1.ZNF354C",0.00331530149724,0.06,1e-100,2.4538305653e-06,0.06,0.06
"MA0259.1.HIF1A::ARNT",0.000110544698943,0.06,1.5059997005e-07,0.00439105081628,0.06,0.06
"UP00057_1_Zic2_primary",0.0173235203245,0.06,0.000364528887375,0.06,0.06,0.0143183259635
"UP00006_1_Zic3_primary",0.025700802209,0.06,0.000364528887375,0.06,0.06,0.06
"UP00060_2_Max_secondary",0.00235648438292,0.06,0.0156930825669,0.06,0.06,0.06
"MA0059.1.MYC::MAX",1e-100,0.06,0.0241620131749,0.06,0.06,0.06
"MA0028.1.ELK1",0.06,0.0422651353724,1e-100,0.00139452611734,0.06,4.25744572373e-05
"MA0062.2.GABPA",0.06,0.06,0.00104668668979,0.00193849089384,0.06,0.00743712213578
"UP00102_1_Zic1_primary",0.06,0.06,0.06,0.0116809369606,0.06,0.06
"UP00042_2_Gm397_secondary",0.06,0.06,1e-100,6.74395372435e-07,0.06,0.06
"UP00026_1_Zscan4_primary",0.06,0.06,2.32339107398e-07,0.00950945636964,0.06,0.06
"MA0067.1.Pax2",0.0264218662339,0.0264130606485,3.76809467906e-06,0.06,8.06621325289e-09,0.06
"MA0095.1.YY1",0.06,0.06,0.000120932996835,0.06,0.00531572210001,0.06
"MA0062.1.GABPA",0.06,8.75334443051e-06,5.2631159797e-07,0.06,0.06,0.06
"MA0018.1.CREB1",0.06,0.00682003120303,4.47064813602e-06,0.06,0.06,0.06
"UP00020_1_Atf1_primary",0.06,0.06,0.0259734499927,0.06,0.06,0.06
"UP00002_2_Sp4_secondary",0.06,0.06,0.000245462084928,0.06,0.06,0.06
"UP00042_1_Gm397_primary",0.06,0.06,0.00490919037557,0.06,0.06,0.06
