	TF	id	name	symbol	GID
UP00078_1 Arid3a_primary	UP00078_1 Arid3a_primary	UP00078_1	Arid3a	Arid3a	13496
UP00059_1_Arid5a_primary	UP00059_1_Arid5a_primary	UP00059_1	Arid5a	Arid5a	214855
UP00099_1_Ascl2_primary	UP00099_1_Ascl2_primary	UP00099_1	Ascl2	Ascl2	17173
UP00020_1_Atf1_primary	UP00020_1_Atf1_primary	UP00020_1	Atf1	Atf1	11908
UP00012_1_Bbx_primary	UP00012_1_Bbx_primary	UP00012_1	Bbx	Bbx	70508
UP00043_1_Bcl6b_primary	UP00043_1_Bcl6b_primary	UP00043_1	Bcl6b	Bcl6b	12029
UP00050_1_Bhlhb2_primary	UP00050_1_Bhlhb2_primary	UP00050_1	Bhlhb2	Bhlhe40	20893
UP00001_1_E2F2_primary	UP00001_1_E2F2_primary	UP00001_1	E2f2	E2f2	242705
UP00003_1_E2F3_primary	UP00003_1_E2F3_primary	UP00003_1	E2f3	E2f3	13557
UP00007_1_Egr1_primary	UP00007_1_Egr1_primary	UP00007_1	Egr1	Egr1	Egr2	13653
UP00015_1_Ehf_primary	UP00015_1_Ehf_primary	UP00015_1	Ehf	Ehf	13661
UP00407_1_Elf3_primary	UP00407_1_Elf3_primary	UP00407_1	Elf3	Elf3	13710
UP00068_1_Eomes_primary	UP00068_1_Eomes_primary	UP00068_1	Eomes	Eomes	13813
UP00079_1_Esrra_primary	UP00079_1_Esrra_primary	UP00079_1	Esrra	Esrra	26379
UP00073_1_Foxa2_primary	UP00073_1_Foxa2_primary	UP00073_1	Foxa2	Foxa2	15376
UP00041_1_Foxj1_primary	UP00041_1_Foxj1_primary	UP00041_1	Foxj1	Foxj1	15223
UP00039_1_Foxj3_primary	UP00039_1_Foxj3_primary	UP00039_1	Foxj3	Foxj3	230700
UP00025_1_Foxk1_primary	UP00025_1_Foxk1_primary	UP00025_1	Foxk1	Foxk1	17425
UP00061_1_Foxl1_primary	UP00061_1_Foxl1_primary	UP00061_1	Foxl1	Foxl1	14241
UP00408_1_Gabpa_primary	UP00408_1_Gabpa_primary	UP00408_1	Gabpa	Gabpa	14390
UP00032_1_Gata3_primary	UP00032_1_Gata3_primary	UP00032_1	Gata3	Gata3	14462
UP00080_1_Gata5_primary	UP00080_1_Gata5_primary	UP00080_1	Gata5	Gata5	14464
UP00100_1_Gata6_primary	UP00100_1_Gata6_primary	UP00100_1	Gata6	Gata6	14465
UP00070_1_Gcm1_primary	UP00070_1_Gcm1_primary	UP00070_1	Gcm1	Gcm1	14531
UP00024_1_Glis2_primary	UP00024_1_Glis2_primary	UP00024_1	Glis2	Glis2	83396
UP00042_1_Gm397_primary	UP00042_1_Gm397_primary	UP00042_1	Gm397	Zscan4c	245109
UP00084_1_Gmeb1_primary	UP00084_1_Gmeb1_primary	UP00084_1	Gmeb1	Gmeb1	56809
UP00055_1_Hbp1_primary	UP00055_1_Hbp1_primary	UP00055_1	Hbp1	Hbp1	73389
UP00035_1_Hic1_primary	UP00035_1_Hic1_primary	UP00035_1	Hic1	Hic1	15248
UP00066_1_Hnf4a_primary	UP00066_1_Hnf4a_primary	UP00066_1	Hnf4a	Hnf4a	15378
UP00391_1_Hoxa3_primary	UP00391_1_Hoxa3_primary	UP00391_1	Hoxa3	Hoxa3	15400
UP00072_1_IRC900814_primary	UP00072_1_IRC900814_primary	UP00072_1	Irc900814	Irc900814	NA
UP00086_1_Irf3_primary	UP00086_1_Irf3_primary	UP00086_1	Irf3	Irf3	54131
UP00018_1_Irf4_primary	UP00018_1_Irf4_primary	UP00018_1	Irf4	Irf4	16364
UP00040_1_Irf5_primary	UP00040_1_Irf5_primary	UP00040_1	Irf5	Irf5	27056
UP00011_1_Irf6_primary	UP00011_1_Irf6_primary	UP00011_1	Irf6	Irf6	54139
UP00074_1_Isgf3g_primary	UP00074_1_Isgf3g_primary	UP00074_1	Isgf3g	Irf9	16391
UP00103_1_Jundm2_primary	UP00103_1_Jundm2_primary	UP00103_1	Jundm2	Jdp2	81703
UP00093_1_Klf7_primary	UP00093_1_Klf7_primary	UP00093_1	Klf7	Klf7	93691
UP00067_1_Lef1_primary	UP00067_1_Lef1_primary	UP00067_1	Lef1	Lef1	16842
UP00045_1_Mafb_primary	UP00045_1_Mafb_primary	UP00045_1	Mafb	Mafb	16658
UP00044_1_Mafk_primary	UP00044_1_Mafk_primary	UP00044_1	Mafk	Mafk	17135
UP00060_1_Max_primary	UP00060_1_Max_primary	UP00060_1	Max	Max	17187
UP00097_1_Mtf1_primary	UP00097_1_Mtf1_primary	UP00097_1	Mtf1	Mtf1	17764
UP00092_1_Myb_primary	UP00092_1_Myb_primary	UP00092_1	Myb	Myb	Mybl2	17863
UP00081_1_Mybl1_primary	UP00081_1_Mybl1_primary	UP00081_1	Mybl1	Mybl1	Mybl2	17864
UP00036_1_Myf6_primary	UP00036_1_Myf6_primary	UP00036_1	Myf6	Myf6	17878
UP00017_1_Nkx3-1_primary	UP00017_1_Nkx3-1_primary	UP00017_1	Nkx3-1	Nkx3-1	18095
UP00009_1_Nr2f2_primary	UP00009_1_Nr2f2_primary	UP00009_1	Nr2f2	Nr2f2	11819
UP00027_1_Osr1_primary	UP00027_1_Osr1_primary	UP00027_1	Osr1	Osr1	23967
UP00052_1_Osr2_primary	UP00052_1_Osr2_primary	UP00052_1	Osr2	Osr2	107587
UP00088_1_Plagl1_primary	UP00088_1_Plagl1_primary	UP00088_1	Plagl1	Plagl1	22634
UP00048_1_Rara_primary	UP00048_1_Rara_primary	UP00048_1	Rara	Rara	19401
UP00098_1_Rfx3_primary	UP00098_1_Rfx3_primary	UP00098_1	Rfx3	Rfx3	19726
UP00056_1_Rfx4_primary	UP00056_1_Rfx4_primary	UP00056_1	Rfx4	Rfx4	71137
UP00076_1_Rfxdc2_primary	UP00076_1_Rfxdc2_primary	UP00076_1	Rfxdc2	Rfx7	319758
UP00053_1_Rxra_primary	UP00053_1_Rxra_primary	UP00053_1	Rxra	Rxra	20181
UP00085_1_Sfpi1_primary	UP00085_1_Sfpi1_primary	UP00085_1	Sfpi1	Sfpi1	20375
UP00008_1_Six6_primary	UP00008_1_Six6_primary	UP00008_1	Six6	Six6	20476
UP00000_1_Smad3_primary	UP00000_1_Smad3_primary	UP00000_1	Smad3	Smad1	Smad2	17127
UP00030_1_Sox11_primary	UP00030_1_Sox11_primary	UP00030_1	Sox11	Sox11	20666
UP00101_1_Sox12_primary	UP00101_1_Sox12_primary	UP00101_1	Sox12	Sox12	20667
UP00096_1_Sox13_primary	UP00096_1_Sox13_primary	UP00096_1	Sox13	Sox13	20668
UP00004_1_Sox14_primary	UP00004_1_Sox14_primary	UP00004_1	Sox14	Sox14	20669
UP00075_1_Sox15_primary	UP00075_1_Sox15_primary	UP00075_1	Sox15	Sox15	20670
UP00014_1_Sox17_primary	UP00014_1_Sox17_primary	UP00014_1	Sox17	Sox17	20671
UP00064_1_Sox18_primary	UP00064_1_Sox18_primary	UP00064_1	Sox18	Sox18	20672
UP00069_1_Sox1_primary	UP00069_1_Sox1_primary	UP00069_1	Sox1	Sox1	20664
UP00071_1_Sox21_primary	UP00071_1_Sox21_primary	UP00071_1	Sox21	Sox21	223227
UP00023_1_Sox30_primary	UP00023_1_Sox30_primary	UP00023_1	Sox30	Sox30	214105
UP00062_1_Sox4_primary	UP00062_1_Sox4_primary	UP00062_1	Sox4	Sox4	20677
UP00091_1_Sox5_primary	UP00091_1_Sox5_primary	UP00091_1	Sox5	Sox5	20678
UP00034_1_Sox7_primary	UP00034_1_Sox7_primary	UP00034_1	Sox7	Sox7	20680
UP00051_1_Sox8_primary	UP00051_1_Sox8_primary	UP00051_1	Sox8	Sox8	20681
