	TF	id	name	symbol	GID
UP00049_1_Sp100_primary	UP00049_1_Sp100_primary	UP00049_1	Sp100	Sp100	20684
UP00002_1_Sp4_primary	UP00002_1_Sp4_primary	UP00002_1	Sp4	Sp4	20688
UP00406_1_Spdef_primary	UP00406_1_Spdef_primary	UP00406_1	Spdef	Spdef	30051
UP00077_1_Srf_primary	UP00077_1_Srf_primary	UP00077_1	Srf	Srf	20807
UP00016_1_Sry_primary	UP00016_1_Sry_primary	UP00016_1	Sry	Sry	21674
UP00029_1_Tbp_primary	UP00029_1_Tbp_primary	UP00029_1	Tbp	Tbp	21374
UP00089_1_Tcf1_primary	UP00089_1_Tcf1_primary	UP00089_1	Tcf1	Hnf1a	21405
UP00058_1_Tcf3_primary	UP00058_1_Tcf3_primary	UP00058_1	Tcf3	Tcf3	21423
UP00054_1_Tcf7_primary	UP00054_1_Tcf7_primary	UP00054_1	Tcf7	Tcf7	21414
UP00083_1_Tcf7l2_primary	UP00083_1_Tcf7l2_primary	UP00083_1	Tcf7l2	Tcf7l2	21416
UP00005_1_Tcfap2a_primary	UP00005_1_Tcfap2a_primary	UP00005_1	Tcfap2a	Tfap2a	21418
UP00010_1_Tcfap2b_primary	UP00010_1_Tcfap2b_primary	UP00010_1	Tcfap2b	Tfap2b	21419
UP00087_1_Tcfap2c_primary	UP00087_1_Tcfap2c_primary	UP00087_1	Tcfap2c	Tfap2c	21420
UP00028_1_Tcfap2e_primary	UP00028_1_Tcfap2e_primary	UP00028_1	Tcfap2e	Tfap2e	332937
UP00046_1_Tcfe2a_primary	UP00046_1_Tcfe2a_primary	UP00046_1	Tcfe2a	Tcf3	21423
UP00019_1_Zbtb12_primary	UP00019_1_Zbtb12_primary	UP00019_1	Zbtb12	Zbtb12	193736
UP00031_1_Zbtb3_primary	UP00031_1_Zbtb3_primary	UP00031_1	Zbtb3	Zbtb3	75291
UP00047_1_Zbtb7b_primary	UP00047_1_Zbtb7b_primary	UP00047_1	Zbtb7b	Zbtb7b	22724
UP00037_1_Zfp105_primary	UP00037_1_Zfp105_primary	UP00037_1	Zfp105	Zfp105	22646
UP00094_1_Zfp128_primary	UP00094_1_Zfp128_primary	UP00094_1	Zfp128	Zfp128	243833
UP00065_1_Zfp161_primary	UP00065_1_Zfp161_primary	UP00065_1	Zfp161	Zfp161	22666
UP00082_1_Zfp187_primary	UP00082_1_Zfp187_primary	UP00082_1	Zfp187	Zfp187	432731
UP00021_1_Zfp281_primary	UP00021_1_Zfp281_primary	UP00021_1	Zfp281	Zfp281	226442
UP00033_1_Zfp410_primary	UP00033_1_Zfp410_primary	UP00033_1	Zfp410	Zfp410	52708
UP00095_1_Zfp691_primary	UP00095_1_Zfp691_primary	UP00095_1	Zfp691	Zfp691	195522
UP00022_1_Zfp740_primary	UP00022_1_Zfp740_primary	UP00022_1	Zfp740	Zfp740	68744
UP00102_1_Zic1_primary	UP00102_1_Zic1_primary	UP00102_1	Zic1	Zic1	22771
UP00057_1_Zic2_primary	UP00057_1_Zic2_primary	UP00057_1	Zic2	Zic2	22772
UP00006_1_Zic3_primary	UP00006_1_Zic3_primary	UP00006_1	Zic3	Zic3	22773
UP00026_1_Zscan4_primary	UP00026_1_Zscan4_primary	UP00026_1	Zscan4	Zscan4-ps3	100043042
UP00078_2_Arid3a_secondary	UP00078_2_Arid3a_secondary	UP00078_2	Arid3a	Arid3a	13496
UP00059_2_Arid5a_secondary	UP00059_2_Arid5a_secondary	UP00059_2	Arid5a	Arid5a	214855
UP00099_2_Ascl2_secondary	UP00099_2_Ascl2_secondary	UP00099_2	Ascl2	Ascl2	17173
UP00020_2_Atf1_secondary	UP00020_2_Atf1_secondary	UP00020_2	Atf1	Atf1	11908
UP00012_2_Bbx_secondary	UP00012_2_Bbx_secondary	UP00012_2	Bbx	Bbx	70508
UP00043_2_Bcl6b_secondary	UP00043_2_Bcl6b_secondary	UP00043_2	Bcl6b	Bcl6b	12029
UP00050_2_Bhlhb2_secondary	UP00050_2_Bhlhb2_secondary	UP00050_2	Bhlhb2	Bhlhe40	20893
UP00001_2_E2F2_secondary	UP00001_2_E2F2_secondary	UP00001_2	E2f2	E2f2	242705
UP00003_2_E2F3_secondary	UP00003_2_E2F3_secondary	UP00003_2	E2f3	E2f3	13557
UP00007_2_Egr1_secondary	UP00007_2_Egr1_secondary	UP00007_2	Egr1	Egr1	Egr2	13653
UP00015_2_Ehf_secondary	UP00015_2_Ehf_secondary	UP00015_2	Ehf	Ehf	13661
UP00407_2_Elf3_secondary	UP00407_2_Elf3_secondary	UP00407_2	Elf3	Elf3	13710
UP00068_2_Eomes_secondary	UP00068_2_Eomes_secondary	UP00068_2	Eomes	Eomes	13813
UP00079_2_Esrra_secondary	UP00079_2_Esrra_secondary	UP00079_2	Esrra	Esrra	26379
UP00073_2_Foxa2_secondary	UP00073_2_Foxa2_secondary	UP00073_2	Foxa2	Foxa2	15376
UP00041_2_Foxj1_secondary	UP00041_2_Foxj1_secondary	UP00041_2	Foxj1	Foxj1	15223
UP00039_2_Foxj3_secondary	UP00039_2_Foxj3_secondary	UP00039_2	Foxj3	Foxj3	230700
UP00025_2_Foxk1_secondary	UP00025_2_Foxk1_secondary	UP00025_2	Foxk1	Foxk1	17425
UP00061_2_Foxl1_secondary	UP00061_2_Foxl1_secondary	UP00061_2	Foxl1	Foxl1	14241
UP00408_2_Gabpa_secondary	UP00408_2_Gabpa_secondary	UP00408_2	Gabpa	Gabpa	14390
UP00032_2_Gata3_secondary	UP00032_2_Gata3_secondary	UP00032_2	Gata3	Gata3	14462
UP00080_2_Gata5_secondary	UP00080_2_Gata5_secondary	UP00080_2	Gata5	Gata5	14464
UP00100_2_Gata6_secondary	UP00100_2_Gata6_secondary	UP00100_2	Gata6	Gata6	14465
UP00070_2_Gcm1_secondary	UP00070_2_Gcm1_secondary	UP00070_2	Gcm1	Gcm1	14531
UP00024_2_Glis2_secondary	UP00024_2_Glis2_secondary	UP00024_2	Glis2	Glis2	83396
UP00042_2_Gm397_secondary	UP00042_2_Gm397_secondary	UP00042_2	Gm397	Zscan4c	245109
UP00084_2_Gmeb1_secondary	UP00084_2_Gmeb1_secondary	UP00084_2	Gmeb1	Gmeb1	56809
UP00055_2_Hbp1_secondary	UP00055_2_Hbp1_secondary	UP00055_2	Hbp1	Hbp1	73389
UP00035_2_Hic1_secondary	UP00035_2_Hic1_secondary	UP00035_2	Hic1	Hic1	15248
UP00066_2_Hnf4a_secondary	UP00066_2_Hnf4a_secondary	UP00066_2	Hnf4a	Hnf4a	15378
UP00391_2_Hoxa3_secondary	UP00391_2_Hoxa3_secondary	UP00391_2	Hoxa3	Hoxa3	15400
UP00072_2_IRC900814_secondary	UP00072_2_IRC900814_secondary	UP00072_2	Irc900814	Irc900814	NA
UP00086_2_Irf3_secondary	UP00086_2_Irf3_secondary	UP00086_2	Irf3	Irf3	54131
UP00018_2_Irf4_secondary	UP00018_2_Irf4_secondary	UP00018_2	Irf4	Irf4	16364
UP00040_2_Irf5_secondary	UP00040_2_Irf5_secondary	UP00040_2	Irf5	Irf5	27056
UP00011_2_Irf6_secondary	UP00011_2_Irf6_secondary	UP00011_2	Irf6	Irf6	54139
UP00074_2_Isgf3g_secondary	UP00074_2_Isgf3g_secondary	UP00074_2	Isgf3g	Irf9	16391
UP00103_2_Jundm2_secondary	UP00103_2_Jundm2_secondary	UP00103_2	Jundm2	Jdp2	81703
UP00093_2_Klf7_secondary	UP00093_2_Klf7_secondary	UP00093_2	Klf7	Klf7	93691
UP00067_2_Lef1_secondary	UP00067_2_Lef1_secondary	UP00067_2	Lef1	Lef1	16842
UP00045_2_Mafb_secondary	UP00045_2_Mafb_secondary	UP00045_2	Mafb	Mafb	16658
UP00044_2_Mafk_secondary	UP00044_2_Mafk_secondary	UP00044_2	Mafk	Mafk	17135
UP00060_2_Max_secondary	UP00060_2_Max_secondary	UP00060_2	Max	Max	17187
UP00097_2_Mtf1_secondary	UP00097_2_Mtf1_secondary	UP00097_2	Mtf1	Mtf1	17764
UP00092_2_Myb_secondary	UP00092_2_Myb_secondary	UP00092_2	Myb	Myb	Mybl2	17863
UP00081_2_Mybl1_secondary	UP00081_2_Mybl1_secondary	UP00081_2	Mybl1	Mybl1	Mybl2	17864
UP00036_2_Myf6_secondary	UP00036_2_Myf6_secondary	UP00036_2	Myf6	Myf6	17878
UP00017_2_Nkx3-1_secondary	UP00017_2_Nkx3-1_secondary	UP00017_2	Nkx3-1	Nkx3-1	18095
UP00009_2_Nr2f2_secondary	UP00009_2_Nr2f2_secondary	UP00009_2	Nr2f2	Nr2f2	11819
UP00027_2_Osr1_secondary	UP00027_2_Osr1_secondary	UP00027_2	Osr1	Osr1	23967
UP00052_2_Osr2_secondary	UP00052_2_Osr2_secondary	UP00052_2	Osr2	Osr2	107587
UP00088_2_Plagl1_secondary	UP00088_2_Plagl1_secondary	UP00088_2	Plagl1	Plagl1	22634
UP00048_2_Rara_secondary	UP00048_2_Rara_secondary	UP00048_2	Rara	Rara	19401
UP00098_2_Rfx3_secondary	UP00098_2_Rfx3_secondary	UP00098_2	Rfx3	Rfx3	19726
UP00056_2_Rfx4_secondary	UP00056_2_Rfx4_secondary	UP00056_2	Rfx4	Rfx4	71137
UP00076_2_Rfxdc2_secondary	UP00076_2_Rfxdc2_secondary	UP00076_2	Rfxdc2	Rfx7	319758
UP00053_2_Rxra_secondary	UP00053_2_Rxra_secondary	UP00053_2	Rxra	Rxra	20181
UP00085_2_Sfpi1_secondary	UP00085_2_Sfpi1_secondary	UP00085_2	Sfpi1	Sfpi1	20375
UP00008_2_Six6_secondary	UP00008_2_Six6_secondary	UP00008_2	Six6	Six6	20476
UP00000_2_Smad3_secondary	UP00000_2_Smad3_secondary	UP00000_2	Smad3	Smad3	Smad2	17127
UP00030_2_Sox11_secondary	UP00030_2_Sox11_secondary	UP00030_2	Sox11	Sox11	20666
UP00101_2_Sox12_secondary	UP00101_2_Sox12_secondary	UP00101_2	Sox12	Sox12	20667
UP00096_2_Sox13_secondary	UP00096_2_Sox13_secondary	UP00096_2	Sox13	Sox13	20668
UP00004_2_Sox14_secondary	UP00004_2_Sox14_secondary	UP00004_2	Sox14	Sox14	20669
UP00075_2_Sox15_secondary	UP00075_2_Sox15_secondary	UP00075_2	Sox15	Sox15	20670
UP00014_2_Sox17_secondary	UP00014_2_Sox17_secondary	UP00014_2	Sox17	Sox17	20671
UP00064_2_Sox18_secondary	UP00064_2_Sox18_secondary	UP00064_2	Sox18	Sox18	20672
UP00069_2_Sox1_secondary	UP00069_2_Sox1_secondary	UP00069_2	Sox1	Sox1	20664
UP00071_2_Sox21_secondary	UP00071_2_Sox21_secondary	UP00071_2	Sox21	Sox21	223227
UP00023_2_Sox30_secondary	UP00023_2_Sox30_secondary	UP00023_2	Sox30	Sox30	214105
UP00062_2_Sox4_secondary	UP00062_2_Sox4_secondary	UP00062_2	Sox4	Sox4	20677
UP00091_2_Sox5_secondary	UP00091_2_Sox5_secondary	UP00091_2	Sox5	Sox5	20678
UP00034_2_Sox7_secondary	UP00034_2_Sox7_secondary	UP00034_2	Sox7	Sox7	20680
UP00051_2_Sox8_secondary	UP00051_2_Sox8_secondary	UP00051_2	Sox8	Sox8	20681
UP00049_2_Sp100_secondary	UP00049_2_Sp100_secondary	UP00049_2	Sp100	Sp100	20684
UP00002_2_Sp4_secondary	UP00002_2_Sp4_secondary	UP00002_2	Sp4	Sp4	20688
UP00406_2_Spdef_secondary	UP00406_2_Spdef_secondary	UP00406_2	Spdef	Spdef	30051
UP00077_2_Srf_secondary	UP00077_2_Srf_secondary	UP00077_2	Srf	Srf	20807
UP00016_2_Sry_secondary	UP00016_2_Sry_secondary	UP00016_2	Sry	Sry	21674
UP00029_2_Tbp_secondary	UP00029_2_Tbp_secondary	UP00029_2	Tbp	Tbp	21374
UP00089_2_Tcf1_secondary	UP00089_2_Tcf1_secondary	UP00089_2	Tcf1	Hnf1a	21405
UP00058_2_Tcf3_secondary	UP00058_2_Tcf3_secondary	UP00058_2	Tcf3	Tcf3	21423
UP00054_2_Tcf7_secondary	UP00054_2_Tcf7_secondary	UP00054_2	Tcf7	Tcf7	21414
UP00083_2_Tcf7l2_secondary	UP00083_2_Tcf7l2_secondary	UP00083_2	Tcf7l2	Tcf7l2	21416
UP00005_2_Tcfap2a_secondary	UP00005_2_Tcfap2a_secondary	UP00005_2	Tcfap2a	Tfap2a	21418
UP00010_2_Tcfap2b_secondary	UP00010_2_Tcfap2b_secondary	UP00010_2	Tcfap2b	Tfap2b	21419
UP00087_2_Tcfap2c_secondary	UP00087_2_Tcfap2c_secondary	UP00087_2	Tcfap2c	Tfap2c	21420
UP00028_2_Tcfap2e_secondary	UP00028_2_Tcfap2e_secondary	UP00028_2	Tcfap2e	Tfap2e	332937
UP00046_2_Tcfe2a_secondary	UP00046_2_Tcfe2a_secondary	UP00046_2	Tcfe2a	Tcf3	21423
UP00019_2_Zbtb12_secondary	UP00019_2_Zbtb12_secondary	UP00019_2	Zbtb12	Zbtb12	193736
UP00031_2_Zbtb3_secondary	UP00031_2_Zbtb3_secondary	UP00031_2	Zbtb3	Zbtb3	75291
UP00047_2_Zbtb7b_secondary	UP00047_2_Zbtb7b_secondary	UP00047_2	Zbtb7b	Zbtb7b	22724
UP00037_2_Zfp105_secondary	UP00037_2_Zfp105_secondary	UP00037_2	Zfp105	Zfp105	22646
UP00094_2_Zfp128_secondary	UP00094_2_Zfp128_secondary	UP00094_2	Zfp128	Zfp128	243833
UP00065_2_Zfp161_secondary	UP00065_2_Zfp161_secondary	UP00065_2	Zfp161	Zfp161	22666
UP00082_2_Zfp187_secondary	UP00082_2_Zfp187_secondary	UP00082_2	Zfp187	Zfp187	432731
UP00021_2_Zfp281_secondary	UP00021_2_Zfp281_secondary	UP00021_2	Zfp281	Zfp281	226442
UP00033_2_Zfp410_secondary	UP00033_2_Zfp410_secondary	UP00033_2	Zfp410	Zfp410	52708
UP00095_2_Zfp691_secondary	UP00095_2_Zfp691_secondary	UP00095_2	Zfp691	Zfp691	195522
UP00022_2_Zfp740_secondary	UP00022_2_Zfp740_secondary	UP00022_2	Zfp740	Zfp740	68744
UP00102_2_Zic1_secondary	UP00102_2_Zic1_secondary	UP00102_2	Zic1	Zic1	22771
UP00057_2_Zic2_secondary	UP00057_2_Zic2_secondary	UP00057_2	Zic2	Zic2	22772
UP00006_2_Zic3_secondary	UP00006_2_Zic3_secondary	UP00006_2	Zic3	Zic3	22773
UP00026_2_Zscan4_secondary	UP00026_2_Zscan4_secondary	UP00026_2	Zscan4	Zscan4-ps3	100043042
UP00108_1_Alx3_3418.2	UP00108_1_Alx3_3418.2	UP00108_1	Alx3	Alx3	11694
UP00187_1_Alx4_1744.1	UP00187_1_Alx4_1744.1	UP00187_1	Alx4	Alx4	11695
UP00152_1_Arx_1738.2	UP00152_1_Arx_1738.2	UP00152_1	Arx	Arx	11878
UP00228_1_Bapx1_2343.1	UP00228_1_Bapx1_2343.1	UP00228_1	Bapx1	Nkx3-2	12020
UP00166_1_Barhl1_2590.2	UP00166_1_Barhl1_2590.2	UP00166_1	Barhl1	Barhl1	54422
UP00145_1_Barhl2_3868.1	UP00145_1_Barhl2_3868.1	UP00145_1	Barhl2	Barhl2	104382
UP00181_1_Barx1_2877.1	UP00181_1_Barx1_2877.1	UP00181_1	Barx1	Barx1	12022
UP00151_1_Barx2_3447.2	UP00151_1_Barx2_3447.2	UP00151_1	Barx2	Barx2	12023
UP00138_1_Bsx_3483.2	UP00138_1_Bsx_3483.2	UP00138_1	Bsx	Bsx	244813
UP00209_1_Cart1_0997.1	UP00209_1_Cart1_0997.1	UP00209_1	Cart1	Alx1	216285
UP00209_2_Cart1_1275.1	UP00209_2_Cart1_1275.1	UP00209_2	Cart1	Alx1	216285
UP00240_1_Cdx1_2245.1	UP00240_1_Cdx1_2245.1	UP00240_1	Cdx1	Cdx1	12590
UP00133_1_Cdx2_4272.1	UP00133_1_Cdx2_4272.1	UP00133_1	Cdx2	Cdx2	12591
UP00198_1_Cphx_3484.1	UP00198_1_Cphx_3484.1	UP00198_1	Cphx	Cphx	105594
UP00176_1_Crx_3485.1	UP00176_1_Crx_3485.1	UP00176_1	Crx	Crx	12951
UP00219_1_Cutl1_3494.1	UP00219_1_Cutl1_3494.1	UP00219_1	Cutl1	Cux1	13047
UP00219_2_Cutl1_3494.2	UP00219_2_Cutl1_3494.2	UP00219_2	Cutl1	Cux1	13047
UP00255_1_Dbx1_3486.1	UP00255_1_Dbx1_3486.1	UP00255_1	Dbx1	Dbx1	13172
UP00218_1_Dbx2_3487.1	UP00218_1_Dbx2_3487.1	UP00218_1	Dbx2	Dbx2	223843
UP00202_1_Dlx1_1741.2	UP00202_1_Dlx1_1741.2	UP00202_1	Dlx1	Dlx1	13390
UP00126_1_Dlx2_2273.2	UP00126_1_Dlx2_2273.2	UP00126_1	Dlx2	Dlx2	13392
UP00154_1_Dlx3_1030.1	UP00154_1_Dlx3_1030.1	UP00154_1	Dlx3	Dlx3	13393
UP00110_1_Dlx4_3488.2	UP00110_1_Dlx4_3488.2	UP00110_1	Dlx4	Dlx4	13394
UP00230_1_Dlx5_3419.2	UP00230_1_Dlx5_3419.2	UP00230_1	Dlx5	Dlx5	13395
UP00111_1_Dmbx1_2277.1	UP00111_1_Dmbx1_2277.1	UP00111_1	Dmbx1	Dmbx1	140477
UP00232_1_Dobox4_3956.2	UP00232_1_Dobox4_3956.2	UP00232_1	Dobox4	Dobox4	NA
UP00143_1_Dobox5_3493.1	UP00143_1_Dobox5_3493.1	UP00143_1	Dobox5	Dobox5	NA
UP00227_1_Duxl_1286.2	UP00227_1_Duxl_1286.2	UP00227_1	Duxl	Duxbl	278672
UP00201_1_Emx2_3420.1	UP00201_1_Emx2_3420.1	UP00201_1	Emx2	Emx2	13797
UP00167_1_En1_3123.2	UP00167_1_En1_3123.2	UP00167_1	En1	En1	13798
UP00163_1_En2_0952.1	UP00163_1_En2_0952.1	UP00163_1	En2	En2	13799
UP00251_1_Esx1_3124.2	UP00251_1_Esx1_3124.2	UP00251_1	Esx1	Esx1	13984
UP00162_1_Evx1_3952.2	UP00162_1_Evx1_3952.2	UP00162_1	Evx1	Evx1	14028
UP00132_1_Evx2_2645.3	UP00132_1_Evx2_2645.3	UP00132_1	Evx2	Evx2	14029
UP00204_1_Gbx1_2883.2	UP00204_1_Gbx1_2883.2	UP00204_1	Gbx1	Gbx1	231044
UP00131_1_Gbx2_3110.1	UP00131_1_Gbx2_3110.1	UP00131_1	Gbx2	Gbx2	14472
UP00112_1_Gsc_2327.3	UP00112_1_Gsc_2327.3	UP00112_1	Gsc	Gsc	14836
UP00127_1_Gsh2_3990.2	UP00127_1_Gsh2_3990.2	UP00127_1	Gsh2	Gsx2	14843
UP00148_1_Hdx_3845.3	UP00148_1_Hdx_3845.3	UP00148_1	Hdx	Hdx	245596
UP00225_1_Hlx1_2350.1	UP00225_1_Hlx1_2350.1	UP00225_1	Hlx1	Hlx	15284
UP00123_1_Hlxb9_3422.1	UP00123_1_Hlxb9_3422.1	UP00123_1	Hlxb9	Mnx1	15285
UP00161_1_Hmbox1_2674.1	UP00161_1_Hmbox1_2674.1	UP00161_1	Hmbox1	Hmbox1	219150
UP00104_1_Hmx1_3423.1	UP00104_1_Hmx1_3423.1	UP00104_1	Hmx1	Hmx1	15371
UP00155_1_Hmx2_3424.3	UP00155_1_Hmx2_3424.3	UP00155_1	Hmx2	Hmx2	15372
UP00157_1_Hmx3_3490.2	UP00157_1_Hmx3_3490.2	UP00157_1	Hmx3	Hmx3	15373
UP00114_1_Homez_1063.2	UP00114_1_Homez_1063.2	UP00114_1	Homez	Homez	239099
UP00264_1_Hoxa1_3425.1	UP00264_1_Hoxa1_3425.1	UP00264_1	Hoxa1	Hoxa1	15394
UP00217_1_Hoxa10_2318.1	UP00217_1_Hoxa10_2318.1	UP00217_1	Hoxa10	Hoxa10	15395
